video_number,video_url,author,comment,likes,published_time,comment_length,case_folding,text_cleaning,normalized_text,tokens,stopwords_removed,stemmed,clean_comment,cluster
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@عبدالعزيزمحمود-د2ض,Terpopuler BAN TE NG HO KI Member baru pasti jepee💛,0,6 bulan yang lalu,51,terpopuler ban te ng ho ki member baru pasti jepee💛,terpopuler ban te ng ho ki member baru pasti jepee,terpopuler ban te ng ho ki member baru pasti jepee,"['terpopuler', 'ban', 'te', 'ng', 'ho', 'ki', 'member', 'baru', 'pasti', 'jepee']","['terpopuler', 'ban', 'te', 'ng', 'ho', 'ki', 'member', 'jepee']","['populer', 'ban', 'te', 'ng', 'ho', 'ki', 'member', 'jepee']",populer ban te ng ho ki member jepee,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Dil2006-o7b,GA RU DA HO KI..Terpopuler masakini❤,0,6 bulan yang lalu,36,ga ru da ho ki..terpopuler masakini❤,ga ru da ho kiterpopuler masakini,ga ru da ho kiterpopuler masakini,"['ga', 'ru', 'da', 'ho', 'kiterpopuler', 'masakini']","['ru', 'da', 'ho', 'kiterpopuler', 'masakini']","['ru', 'da', 'ho', 'kiterpopuler', 'masakini']",ru da ho kiterpopuler masakini,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ايمناحمدسيدامو-ث5ز,BAN TE NG HO KI..Member baru pasti jepe💛,0,6 bulan yang lalu,40,ban te ng ho ki..member baru pasti jepe💛,ban te ng ho kimember baru pasti jepe,ban te ng ho kimember baru pasti jepe,"['ban', 'te', 'ng', 'ho', 'kimember', 'baru', 'pasti', 'jepe']","['ban', 'te', 'ng', 'ho', 'kimember', 'jepe']","['ban', 'te', 'ng', 'ho', 'kimember', 'jepe']",ban te ng ho kimember jepe,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@RaiKing-g1o,GA RU DA HO KI menang lebih mudah❤,0,6 bulan yang lalu,34,ga ru da ho ki menang lebih mudah❤,ga ru da ho ki menang lebih mudah,ga ru da ho ki menang lebih mudah,"['ga', 'ru', 'da', 'ho', 'ki', 'menang', 'lebih', 'mudah']","['ru', 'da', 'ho', 'ki', 'menang', 'mudah']","['ru', 'da', 'ho', 'ki', 'menang', 'mudah']",ru da ho ki menang mudah,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ridwanmaulana7,"Terima kasih, Bib.
Semoga berikutnya bisa hadirkan Bu Karlina Supelli dan atau Seno Gumira Ajidarma... atau... Romo Setyo Wibowo STF.",3,6 bulan yang lalu (diedit),133,"terima kasih, bib.
semoga berikutnya bisa hadirkan bu karlina supelli dan atau seno gumira ajidarma... atau... romo setyo wibowo stf.",terima kasih bib semoga berikutnya bisa hadirkan bu karlina supelli dan atau seno gumira ajidarma atau romo setyo wibowo stf,terima kasih bib semoga berikutnya bisa hadirkan bu karlina supelli dan atau seno gumira ajidarma atau romo setyo wibowo stf,"['terima', 'kasih', 'bib', 'semoga', 'berikutnya', 'bisa', 'hadirkan', 'bu', 'karlina', 'supelli', 'dan', 'atau', 'seno', 'gumira', 'ajidarma', 'atau', 'romo', 'setyo', 'wibowo', 'stf']","['terima', 'kasih', 'bib', 'semoga', 'hadirkan', 'karlina', 'supelli', 'seno', 'gumira', 'ajidarma', 'romo', 'setyo', 'wibowo', 'stf']","['terima', 'kasih', 'bib', 'moga', 'hadir', 'karlina', 'supelli', 'seno', 'gumira', 'ajidarma', 'romo', 'setyo', 'wibowo', 'stf']",terima kasih bib moga hadir karlina supelli seno gumira ajidarma romo setyo wibowo stf,1
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@DGM-1157,lag gurunya aja bnyak yg oon 😂😂😂,0,6 bulan yang lalu,32,lag gurunya aja bnyak yg oon 😂😂😂,lag gurunya aja bnyak yg oon,lag gurunya aja bnyak yg oon,"['lag', 'gurunya', 'aja', 'bnyak', 'yg', 'oon']","['lag', 'gurunya', 'bnyak', 'oon']","['lag', 'guru', 'bnyak', 'oon']",lag guru bnyak oon,1
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@DickyLamongan,Negara Indonesia pakai manuaL aja tenaga manusia aja pekerjaan di indonesia,0,9 bulan yang lalu,75,negara indonesia pakai manual aja tenaga manusia aja pekerjaan di indonesia,negara indonesia pakai manual aja tenaga manusia aja pekerjaan di indonesia,negara indonesia pakai manual aja tenaga manusia aja pekerjaan di indonesia,"['negara', 'indonesia', 'pakai', 'manual', 'aja', 'tenaga', 'manusia', 'aja', 'pekerjaan', 'di', 'indonesia']","['negara', 'indonesia', 'pakai', 'manual', 'tenaga', 'manusia', 'pekerjaan', 'indonesia']","['negara', 'indonesia', 'pakai', 'manual', 'tenaga', 'manusia', 'kerja', 'indonesia']",negara indonesia pakai manual tenaga manusia kerja indonesia,2
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@rizkimeina1043,Cape liat kurikulum Indonesia,0,10 bulan yang lalu,29,cape liat kurikulum indonesia,cape liat kurikulum indonesia,cape liat kurikulum indonesia,"['cape', 'liat', 'kurikulum', 'indonesia']","['cape', 'liat', 'kurikulum', 'indonesia']","['cape', 'liat', 'kurikulum', 'indonesia']",cape liat kurikulum indonesia,2
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@RiaAgnesk,AI Itu pelajaran yag dasarnya logika. Perkalian sama baca tulis kaga bisa kok. Udah lsg meloncat AI 😅😅,1,11 bulan yang lalu,102,ai itu pelajaran yag dasarnya logika. perkalian sama baca tulis kaga bisa kok. udah lsg meloncat ai 😅😅,ai itu pelajaran yag dasarnya logika perkalian sama baca tulis kaga bisa kok udah lsg meloncat ai,ai itu pelajaran yag dasarnya logika perkalian sama baca tulis kaga bisa kok udah lsg meloncat ai,"['ai', 'itu', 'pelajaran', 'yag', 'dasarnya', 'logika', 'perkalian', 'sama', 'baca', 'tulis', 'kaga', 'bisa', 'kok', 'udah', 'lsg', 'meloncat', 'ai']","['ai', 'pelajaran', 'yag', 'dasarnya', 'logika', 'perkalian', 'baca', 'tulis', 'kaga', 'lsg', 'meloncat', 'ai']","['ai', 'ajar', 'yag', 'dasar', 'logika', 'kali', 'baca', 'tulis', 'kaga', 'lsg', 'loncat', 'ai']",ai ajar yag dasar logika kali baca tulis kaga lsg loncat ai,1
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@budiharjo6820,Ai mmbuat kita berhenti berpikir apalagi yg namanya kritik sumber. AI bertolak belakwng dnhn semangat Literasi,0,11 bulan yang lalu,110,ai mmbuat kita berhenti berpikir apalagi yg namanya kritik sumber. ai bertolak belakwng dnhn semangat literasi,ai mmbuat kita berhenti berpikir apalagi yg namanya kritik sumber ai bertolak belakwng dnhn semangat literasi,ai mmbuat kita berhenti berpikir apalagi yg namanya kritik sumber ai bertolak belakwng dnhn semangat literasi,"['ai', 'mmbuat', 'kita', 'berhenti', 'berpikir', 'apalagi', 'yg', 'namanya', 'kritik', 'sumber', 'ai', 'bertolak', 'belakwng', 'dnhn', 'semangat', 'literasi']","['ai', 'mmbuat', 'berhenti', 'berpikir', 'namanya', 'kritik', 'sumber', 'ai', 'bertolak', 'belakwng', 'dnhn', 'semangat', 'literasi']","['ai', 'mmbuat', 'henti', 'pikir', 'nama', 'kritik', 'sumber', 'ai', 'tolak', 'belakwng', 'dnhn', 'semangat', 'literasi']",ai mmbuat henti pikir nama kritik sumber ai tolak belakwng dnhn semangat literasi,1
