video_number,video_url,author,comment,likes,published_time
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@ecoanimasi,"Paling kocak itu MAPPI AI yg di sahkan di papua, kita semua tau papua dari segi pendidikan kayak gimana (guru jarang ngajar di kelas, internet di sana susah, mau belajar harus lewati jembatan rusak, gaji guru murah tapi harga2 mahal, dll) dg kondisi tsb mau di terapkan di papua hahahaha kocak 🤣🤣",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@jasenlovely,"Kalau negara² lain berusaha agar  “1 step ahead“ Indonesia dengan segala narasinya berusaha untuk yang ""biasa² aja"", kalau perlu “1 step behind“ negara lain.",0,1 tahun yang lalu (diedit)
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@mr.bushido15,"Jangankan AI ,ngitung sama pengetahuan umum aja pada banyak yang zonk",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@farhanbaiquni186,"Ratakan pendidikan mendasar dulu sampai pelosok negeri, naikkan gaji guru khususnya guru pesantren, tuntas habis korupsi, baru kita ngomongin AI",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@aethersx2,"emang gibran tahu apa ai?

emang bisa kodingnya gibran?",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@nuretlavie,Daripada AI coba itu pelajaran bahasa inggris dikaji lagi. Kenapa anak belajar bahasa inggris 12 tahun tapi masih tetep gak bisa ngomong inggris,4,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@moordityamoordi9098,"PENERAPAN AI MENUNGGU FASILITAS,😂😅😂😅😂😅 Kocak banget, padahal hape orang tuanya ada wa dengan meta. ai.😂😅😂😅😂😅",0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@junduhumam73,Ini goverment ga menyeluruh amat liat lapangannya.. pendidikan menurun karena guru ga nyaman ketahanan hidupnya.. bukannya bikin ketahanan dulu mau nafsuan mulu😂,4,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@tipichanghong,Yang perlu di dudukan itu pola fikir anak didik. AI itu tindak lanjut lebih jauh dari pemograman. kuncinya ada di logika. apa pelajaran logika ada disekolah? kayaknya enggak deh.,0,1 tahun yang lalu
2,https://www.youtube.com/watch?v=UUTaymXAtqU,@rizalaiyubrz,"Fasilitas komputer di sekolah terutama sekolah di daerah itu masih dibawah kata minimum, bahkan ada yang tidak ada sama sekali,, apa apaan kurikulum AI,,, mungkin kalau korupsi dana bos di berantas dulu, terus di imbangin dengan peningkatan fasilitas secara bertahap baru mungkin bisa belajar Ms. Office sama Cara ngeprint,, kalau AI, coding, rasanya nambah masalah itu mah.",0,1 tahun yang lalu
